2019-09-11 18:03:32:list index out of range 
2019-09-11 18:03:36:list index out of range 
2019-09-11 18:03:40:local variable 'positioning' referenced before assignment 
2019-09-11 18:18:37:list index out of range 
2019-09-11 18:18:41:list index out of range 
2019-09-11 18:18:45:local variable 'positioning' referenced before assignment 
2019-09-11 18:18:52:list index out of range 
2019-09-11 18:18:56:local variable 'positioning' referenced before assignment 
2019-09-11 18:19:05:local variable 'positioning' referenced before assignment 
2019-09-11 18:19:11:local variable 'positioning' referenced before assignment 
2019-09-11 18:19:18:local variable 'positioning' referenced before assignment 
2019-09-11 18:19:22:local variable 'positioning' referenced before assignment 
2019-09-11 18:19:31:local variable 'positioning' referenced before assignment 
2019-09-11 18:19:35:local variable 'positioning' referenced before assignment 
2019-09-11 18:19:41:list index out of range 
2019-09-11 18:19:46:local variable 'positioning' referenced before assignment 
2019-09-11 18:19:52:list index out of range 
2019-09-11 18:19:56:local variable 'positioning' referenced before assignment 
2019-09-11 18:20:03:list index out of range 
2019-09-11 18:20:07:local variable 'positioning' referenced before assignment 
2019-09-11 18:20:14:local variable 'positioning' referenced before assignment 
2019-09-11 18:20:18:local variable 'positioning' referenced before assignment 
2019-09-11 18:20:27:local variable 'positioning' referenced before assignment 
2019-09-11 18:20:58:local variable 'positioning' referenced before assignment 
2019-09-11 18:21:30:local variable 'positioning' referenced before assignment 
2019-09-11 18:22:00:local variable 'positioning' referenced before assignment 
2019-09-11 18:22:31:local variable 'positioning' referenced before assignment 
2019-09-11 18:23:03:local variable 'positioning' referenced before assignment 
2019-09-11 18:23:33:local variable 'positioning' referenced before assignment 
2019-09-11 18:24:04:local variable 'positioning' referenced before assignment 
2019-09-11 18:24:34:local variable 'positioning' referenced before assignment 
2019-09-11 18:25:05:local variable 'positioning' referenced before assignment 
2019-09-11 18:28:36:local variable 'positioning' referenced before assignment 
2019-09-11 18:28:40:local variable 'positioning' referenced before assignment 
2019-09-11 18:29:10:local variable 'positioning' referenced before assignment 
2019-09-11 18:29:40:local variable 'positioning' referenced before assignment 
2019-09-11 18:30:11:local variable 'positioning' referenced before assignment 
2019-09-11 18:30:42:local variable 'positioning' referenced before assignment 
2019-09-11 18:31:13:local variable 'positioning' referenced before assignment 
2019-09-11 18:31:44:local variable 'positioning' referenced before assignment 
2019-09-11 18:32:15:local variable 'positioning' referenced before assignment 
2019-09-11 18:32:47:local variable 'positioning' referenced before assignment 
2019-09-11 18:33:18:local variable 'positioning' referenced before assignment 
2019-09-11 18:33:48:local variable 'positioning' referenced before assignment 
2019-09-11 18:34:20:local variable 'positioning' referenced before assignment 
2019-09-11 18:34:51:local variable 'positioning' referenced before assignment 
2019-09-11 18:35:22:local variable 'positioning' referenced before assignment 
2019-09-11 18:35:53:local variable 'positioning' referenced before assignment 
2019-09-11 18:36:24:local variable 'positioning' referenced before assignment 
2019-09-11 18:36:55:local variable 'positioning' referenced before assignment 
2019-09-11 18:37:26:local variable 'positioning' referenced before assignment 
2019-09-11 18:37:57:local variable 'positioning' referenced before assignment 
2019-09-11 18:38:27:local variable 'positioning' referenced before assignment 
2019-09-11 18:39:08:local variable 'positioning' referenced before assignment 
2019-09-11 18:39:29:local variable 'positioning' referenced before assignment 
2019-09-11 18:40:00:local variable 'positioning' referenced before assignment 
2019-09-11 18:40:31:local variable 'positioning' referenced before assignment 
2019-09-11 18:41:02:local variable 'positioning' referenced before assignment 
2019-09-11 18:41:33:local variable 'positioning' referenced before assignment 
2019-09-11 18:42:12:local variable 'positioning' referenced before assignment 
2019-09-11 18:42:54:local variable 'positioning' referenced before assignment 
2019-09-11 18:43:06:local variable 'positioning' referenced before assignment 
2019-09-11 18:43:48:local variable 'positioning' referenced before assignment 
2019-09-11 18:44:08:local variable 'positioning' referenced before assignment 
2019-09-11 18:44:38:local variable 'positioning' referenced before assignment 
2019-09-11 18:45:09:local variable 'positioning' referenced before assignment 
2019-09-11 18:45:40:local variable 'positioning' referenced before assignment 
2019-09-11 18:46:11:local variable 'positioning' referenced before assignment 
2019-09-11 18:46:41:local variable 'positioning' referenced before assignment 
2019-09-11 18:47:12:local variable 'positioning' referenced before assignment 
2019-09-11 18:47:43:local variable 'positioning' referenced before assignment 
2019-09-11 18:48:14:local variable 'positioning' referenced before assignment 
2019-09-11 18:48:44:local variable 'positioning' referenced before assignment 
2019-09-11 18:49:15:local variable 'positioning' referenced before assignment 
2019-09-11 18:49:46:local variable 'positioning' referenced before assignment 
2019-09-11 18:50:17:local variable 'positioning' referenced before assignment 
2019-09-11 18:50:47:local variable 'positioning' referenced before assignment 
2019-09-11 18:51:17:local variable 'positioning' referenced before assignment 
2019-09-11 18:51:48:local variable 'positioning' referenced before assignment 
2019-09-11 18:52:18:local variable 'positioning' referenced before assignment 
2019-09-11 18:52:49:local variable 'positioning' referenced before assignment 
2019-09-11 18:53:22:local variable 'positioning' referenced before assignment 
2019-09-11 18:53:51:local variable 'positioning' referenced before assignment 
2019-09-11 18:54:22:local variable 'positioning' referenced before assignment 
2019-09-11 18:54:54:local variable 'positioning' referenced before assignment 
2019-09-11 18:55:25:local variable 'positioning' referenced before assignment 
2019-09-11 18:55:56:local variable 'positioning' referenced before assignment 
2019-09-11 18:56:26:local variable 'positioning' referenced before assignment 
2019-09-11 18:56:57:local variable 'positioning' referenced before assignment 
2019-09-11 18:57:28:local variable 'positioning' referenced before assignment 
2019-09-11 18:57:58:local variable 'positioning' referenced before assignment 
2019-09-11 18:58:29:local variable 'positioning' referenced before assignment 
2019-09-11 18:59:00:local variable 'positioning' referenced before assignment 
2019-09-11 18:59:30:local variable 'positioning' referenced before assignment 
2019-09-11 19:00:01:local variable 'positioning' referenced before assignment 
2019-09-11 19:00:32:local variable 'positioning' referenced before assignment 
